Roll Number,Object Oriented Programming in C++,
Data Structure and Algorithms,Systems Analysis and Design,
Financial Accounting II,
Microprocessor,SGPA
,,,,,,,
21535064,F,C+,C+,F,F,-,
21535065,B+,A-,B+,A-,A-,3.54,
21535066,C+,A,B+,C+,B-,2.92,
21535067,F,B-,C+,F,F,-,
21535068,Abs,NQ,Abs,Abs,NQ,-,
21535069,F,Abs,Abs,F,F,-,
21535070,F,B-,B-,F,F,-,
21535071,Abs,Abs,Abs,F,F,-,
21535072,F,C+,C,F,F,-,
21535073,A-,A,A,A,A,3.94,
21535074,F,F,B-,F,Abs,-,
21535075,F,F,F,F,F,-,
21535076,F,F,F,F,F,-,
21535077,C,F,C,F,F,-,
21535078,B-,B+,A-,B,B,3.14,
21535079,C+,A-,A-,A-,A,3.48,
21535080,C-,C+,B-,C,B-,2.28,
21535081,F,F,F,F,F,-,
21535083,B-,C,C+,B-,B,2.54,
21535084,C,A-,A,A-,A,3.48,
21535085,F,F,F,F,C+,-,
21535087,C,B,C+,C,F,-,
21535088,C,F,F,C,F,-,
21535089,A-,A-,A,A-,A,3.82,
21535090,A,A,A,A,A,4.00,
21535091,C-,C-,C,F,F,-,
21535092,A-,A-,A,B,A,3.68,
21535093,F,F,C,F,F,-,
21535094,Abs,C,B+,F,F,-,
21535097,B,B-,A,A-,B-,3.22,
21535098,A-,B+,A-,B+,B,3.40,
21535099,F,F,F,F,F,-,
21535100,F,F,D+,F,F,-,
21535101,F,F,D+,F,C+,-,
21535102,B-,F,C,F,F,-,
21535103,F,F,C-,F,F,-,
21535104,NQ,D+,D+,F,NQ,-,
21535107,C-,F,C-,F,F,-,
21535109,C+,C-,B,F,F,-,
21535110,F,C-,C,F,F,-,
21535111,F,F,D+,F,F,-,
21535112,F,F,F,F,F,-,
21535113,C,B,A-,B-,B,2.88,
21535114,NQ,F,F,F,NQ,-,
21535115,F,C-,C+,D+,F,-,
21535116,Abs,Expelled,B-,F,F,-,
21535118,C,A-,A-,B,B-,3.02,
21535119,C,D+,F,F,NQ,-,
21535120,B-,A-,A-,A,B-,3.36,
21535121,F,F,D+,F,F,-,
21535122,B-,A,A,B+,A,3.60,
21535123,F,C,B+,F,F,-,
21535124,D+,C,B,B+,C,2.32,
21535125,B-,C,B+,F,C,-,
21535126,F,D+,D+,F,NQ,-,
21535127,B-,A,A,A-,B,3.48,
21535128,NQ,F,B,F,F,-,
21535129,C,C,B-,F,F,-,
21535130,B+,A-,A,B-,A,3.54,
21535131,C,B,B,C,C,2.40,
21535132,F,F,C+,F,F,-,
21535133,F,C+,B+,C-,F,-,
21535134,NQ,F,F,F,F,-,
21535135,C+,B-,C+,C+,B-,2.46,
21535136,F,C,B-,C-,C,-,
21535137,F,C-,B-,F,F,-,
21535138,F,C,C+,D+,F,-,
21535139,F,B,A-,C+,C+,-,
21535140,F,C-,C+,D+,F,-,
21535142,F,B,B,B,C,-,
21535143,F,C-,C,B-,F,-,
21535144,C,B-,B,B-,C,2.48,
21535146,F,B-,C,F,F,-,
21535147,B-,A-,A-,A,B+,3.48,
21535148,C+,B+,B,B+,C,2.78,
21535149,F,B+,B-,C+,C,-,
21535150,A-,A-,B+,A-,C,3.28,
21535151,F,F,F,NQ,F,-,
21535152,A-,A-,A,C,C,3.08,
21535153,F,B-,F,B+,F,-,
21535154,C,B+,B,A-,F,-,
21535155,B-,A,A,F,A,-,
21535156,Abs,F,F,Abs,F,-,
21535158,F,C+,C-,F,F,-,
21535159,B-,A,A-,A-,A-,3.56,
21535160,F,F,F,F,F,-,
21535161,A-,A,A,A,A-,3.88,
21535162,F,B,A-,B-,C+,-,
21535163,F,Abs,Abs,Abs,Abs,-,
21535164,F,Abs,B+,F,B+,-,
21535165,F,F,C-,Abs,F,-,
21535166,F,C-,C-,F,F,-,
21535167,C,B,B+,A-,B,3.00,
21535168,F,C,C+,F,C,-,
21535169,F,F,Expelled,F,F,-,
21535170,C,B,C+,C,C+,2.32,
21535171,NQ,NQ,NQ,NQ,NQ,-,
21535172,F,C-,C-,F,F,-,
21535175,F,F,C+,C,F,-,
21535176,F,C,C,B-,F,-,
21535177,F,F,F,Abs,F,-,
21535178,F,B+,B,A,B-,-,
21535179,F,C,B-,B-,B-,-,
21535180,A-,A,B,A,A,3.74,
21535181,F,C+,F,B+,B-,-,
21535182,F,C,C+,F,F,-,
21535183,F,B+,B,B,A,-,
21535184,F,C+,C+,B-,F,-,
21535185,F,F,C,F,Abs,-,
21535187,F,F,F,B,F,-,
21535188,F,F,Abs,F,F,-,
21535189,Abs,Abs,Abs,Abs,Abs,-,
21535190,F,F,C+,C,B-,-,
21535191,B+,A,B,A,A-,3.60,
21535192,C+,C+,C,A,C+,2.58,
21535193,F,C,C,C+,F,-,
21535194,B-,C,C,C+,C,2.20,
21535195,B,B,B,C,B,2.80,
21535196,B-,B-,B,A,B+,3.14,
21535197,CNR,CNR,CNR,CNR,CNR,-,
